Sample_ID_ICR,Total_number_of_peaks,Total_Peaks_with_Molecular_Formulas,Lignin,Other,Protein,ConHC,Tannin,AminoSugar,Lipid,Carb,UnsatHC,CHONS,CHONSP,CHON,CHOS,CHOSP,CHO,CHONP,CHOP
S19S_0043_Sed_Field_ICR-U_p2,4081,2643,914,17,688,290,161,187,236,72,78,68,20,518,157,30,1251,143,456
S19S_0044_Sed_Field_ICR-D_p2,4117,2165,751,45,549,202,99,111,298,39,71,97,21,242,128,41,1063,106,467
S19S_0044_Sed_Field_ICR-M_p15,4679,3302,1414,42,594,520,326,126,162,55,63,59,60,361,175,57,1889,75,626
S19S_0044_Sed_Field_ICR-U_p2,4268,2508,991,34,565,317,156,106,221,48,70,64,33,317,166,40,1279,89,520
S19S_0045_Sed_Field_ICR-D_p1,3871,2373,772,39,678,188,148,177,217,70,84,73,34,349,197,38,1029,205,448
S19S_0045_Sed_Field_ICR-U_p2,3320,1613,445,43,503,122,68,139,181,44,68,87,26,200,160,38,656,109,337
S19S_0046_Sed_Field_ICR-D_p1,3920,2293,418,56,843,120,56,219,312,103,166,131,34,246,250,65,857,232,478
S19S_0046_Sed_Field_ICR-U_p1,3777,2175,367,48,863,108,50,200,322,85,132,108,34,282,196,53,762,238,502
S19S_0047_Sed_Field_ICR-D_p15,3088,1816,667,35,452,184,125,90,197,33,33,67,20,172,91,35,917,71,443
S19S_0049_Sed_Field_ICR-D_p2,4822,2678,664,58,880,158,74,222,267,91,264,210,41,500,213,73,875,279,487
S19S_0049_Sed_Field_ICR-M_p2,4301,2093,495,55,709,157,59,171,259,55,133,146,36,386,175,68,682,199,401
S19S_0049_Sed_Field_ICR-U_p2,4852,2558,624,46,872,124,90,229,263,127,183,109,36,411,197,58,953,255,539
S19S_0050_Sed_Field_ICR-D_p15,3113,1670,512,34,470,151,147,86,202,23,45,71,25,138,100,24,860,97,355
S19S_0050_Sed_Field_ICR-M_p15,3043,1721,539,43,431,161,149,62,268,16,52,67,31,149,126,32,877,96,343
S19S_0050_Sed_Field_ICR-U_p15,4219,2833,998,34,576,410,350,84,241,33,107,94,58,299,117,60,1560,163,482
S19S_0051_Sed_Field_ICR-M_p15,2826,1646,549,30,391,128,137,54,300,22,35,71,19,129,69,32,846,93,387
S19S_0051_Sed_Field_ICR-U_p15,2499,1449,496,29,369,142,144,64,157,14,34,58,19,94,93,27,760,80,318
S19S_0052_Sed_Field_ICR-D_p2,3535,1865,476,42,599,133,101,141,240,36,97,96,36,311,98,48,767,154,355
S19S_0052_Sed_Field_ICR-M_p2,3685,2072,512,45,695,120,59,131,354,41,115,95,30,348,151,39,773,196,440
S19S_0052_Sed_Field_ICR-U_p2,3673,2239,565,32,698,175,140,141,330,33,125,98,24,350,127,31,1007,184,418
S19S_0053_Sed_Field_ICR-D_p2,3904,2357,638,33,691,227,184,172,237,66,109,73,21,324,158,36,1174,155,416
S19S_0053_Sed_Field_ICR-M_p2,3541,2128,546,27,598,258,201,127,255,39,77,71,18,260,116,27,1140,142,354
S19S_0053_Sed_Field_ICR-U_p2,3795,2473,652,34,670,297,269,166,249,58,78,61,29,294,122,22,1388,147,410
S19S_0054_Sed_Field_ICR-D_p2,4376,2658,938,37,702,189,94,154,358,86,100,94,23,450,207,60,1059,162,603
S19S_0054_Sed_Field_ICR-M_p2,4316,2554,860,34,720,169,98,140,357,94,82,79,28,413,217,41,1005,138,633
S19S_0054_Sed_Field_ICR-U_p2,4230,2593,987,33,625,233,122,163,253,100,77,101,34,452,213,73,1092,115,513
S19S_0055_Sed_Field_ICR-D_p2,3560,1987,557,40,589,130,73,117,385,42,54,110,34,297,238,48,808,113,339
S19S_0055_Sed_Field_ICR-M_p2,3905,1813,535,44,551,138,69,108,287,34,47,87,49,261,145,37,780,102,352
S19S_0055_Sed_Field_ICR-U_p2,4056,1721,485,46,541,95,54,128,255,68,49,71,39,237,131,56,680,116,391
S19S_0056_Sed_Field_ICR-D_p2,4881,2585,776,46,707,249,180,176,265,91,95,88,37,440,174,35,1131,168,512
S19S_0056_Sed_Field_ICR-M_p2,4707,2687,804,41,750,226,184,181,243,62,196,108,37,428,173,43,1215,205,478
S19S_0056_Sed_Field_ICR-U_p2,5019,3131,950,46,904,245,193,228,266,95,204,129,36,547,223,54,1369,231,542
S19S_0057_Sed_Field_ICR-D_p2,3631,2290,780,39,549,274,187,95,233,35,98,88,34,341,161,26,1138,126,376
S19S_0057_Sed_Field_ICR-M_p2,3694,2150,649,34,550,229,178,121,247,36,106,97,33,280,97,24,1083,133,403
S19S_0057_Sed_Field_ICR-U_p2,3482,2020,561,35,601,192,155,126,197,36,117,103,29,284,144,34,930,154,342
S19S_0058_Sed_Field_ICR-D_p2,4569,2522,720,42,739,167,111,165,310,104,164,121,32,499,191,33,895,164,587
S19S_0058_Sed_Field_ICR-U_p2,4785,2911,809,46,883,181,130,198,393,110,161,122,26,592,216,37,1083,244,591
S19S_0059_Sed_Field_ICR-D_p15,2498,1240,348,31,380,80,25,46,276,18,36,78,23,149,44,39,474,91,342
S19S_0059_Sed_Field_ICR-M_p15,4013,2206,680,45,674,114,94,101,320,40,138,88,32,258,132,52,896,170,578
S19S_0059_Sed_Field_ICR-U_p15,2303,1057,318,23,329,72,24,72,167,20,32,63,12,114,142,32,375,73,246
S19S_0060_Sed_Field_ICR-D_p2,3688,2089,560,41,676,130,69,150,293,64,106,105,52,386,125,47,794,184,396
S19S_0060_Sed_Field_ICR-M_p2,3986,2390,611,47,781,93,62,188,372,66,170,106,33,375,170,47,936,186,537
S19S_0060_Sed_Field_ICR-U_p2,3913,2451,648,39,824,108,99,186,276,74,197,124,39,427,151,42,936,245,487
S19S_0061_Sed_Field_ICR-D_p2,4200,2561,799,35,657,310,154,180,245,83,98,85,40,441,119,58,1192,174,452
S19S_0061_Sed_Field_ICR-M_p2,4475,2522,820,31,663,205,143,187,261,128,84,72,33,489,153,36,1061,160,518
S19S_0061_Sed_Field_ICR-U_p15,2264,989,246,33,273,86,20,49,233,19,30,73,24,110,53,41,344,81,263
S19S_0062_Sed_Field_ICR-D_p15,4484,3065,936,38,836,228,235,174,418,61,139,91,37,315,207,50,1548,175,642
S19S_0062_Sed_Field_ICR-M_p15,5059,3027,872,78,843,326,252,163,310,80,103,164,68,349,249,96,1315,207,579
S19S_0062_Sed_Field_ICR-U_p15,5022,3489,1121,41,990,300,281,234,323,85,114,94,57,408,311,55,1782,173,609
S19S_0063_Sed_Field_ICR-M_p2,4316,2479,668,43,739,182,136,205,282,73,151,119,44,330,152,57,1113,184,480
